Timestamp,Total Customers,Total Visitors,Queue Count,Shelf Count,Current Customers,Current Visitor,Shelf 1,Shelf 2,Shelf 3,Shelf 4
2024-12-01 22:56:39,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:56:49,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:56:59,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:57:10,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:57:20,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:57:30,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:57:40,3,0,0,0,0,1,0,0,1,0
2024-12-01 22:57:50,3,1,0,0,0,1,0,0,1,0
2024-12-01 22:58:01,3,1,0,0,0,1,0,0,1,0
2024-12-01 22:58:11,3,1,0,0,0,1,0,1,0,0
2024-12-01 22:58:21,3,1,0,0,0,1,0,1,0,0
2024-12-01 22:58:31,3,1,0,0,0,1,0,0,1,0
2024-12-01 22:58:42,3,1,0,0,0,1,0,0,1,0
2024-12-01 22:58:52,3,1,0,0,0,1,0,0,1,0
2024-12-01 22:59:02,3,2,0,0,0,1,0,0,1,0
2024-12-01 22:59:12,3,2,0,0,0,2,0,0,2,0
2024-12-01 22:59:22,3,2,0,0,0,2,0,0,2,0
2024-12-01 22:59:33,3,2,0,0,0,2,0,0,2,0
2024-12-01 22:59:43,3,2,0,0,0,2,0,0,2,0
2024-12-01 22:59:53,3,2,0,0,0,1,0,0,1,0
2024-12-01 23:00:03,3,2,0,0,0,1,0,0,1,0
2024-12-01 23:00:14,4,1,0,0,0,1,0,0,1,0
2024-12-01 23:00:24,4,1,0,0,0,1,0,0,1,0
2024-12-01 23:00:34,4,1,0,0,0,1,0,0,1,0
2024-12-01 23:00:44,4,1,0,0,0,1,0,0,1,0
2024-12-01 23:00:54,4,1,0,0,0,1,0,0,1,0
2024-12-01 23:01:05,4,2,0,0,0,2,0,0,2,0
2024-12-01 23:01:15,4,2,0,0,0,0,0,0,0,0
2024-12-01 23:01:25,4,2,0,0,0,1,0,0,1,0
2024-12-01 23:01:35,4,2,0,0,0,1,0,1,0,0
2024-12-01 23:01:45,4,2,0,0,0,1,0,1,0,0
2024-12-01 23:01:56,4,2,0,0,0,1,0,1,0,0
2024-12-01 23:02:06,4,2,0,0,0,1,0,1,0,0
2024-12-01 23:02:16,4,2,0,0,0,1,0,1,0,0
2024-12-01 23:02:26,4,2,0,0,0,0,0,0,0,0
2024-12-01 23:02:36,4,3,0,1,0,1,1,0,0,0
2024-12-01 23:02:47,4,3,0,0,0,0,0,0,0,0
2024-12-01 23:02:57,4,3,0,0,0,0,0,0,0,0
2024-12-01 23:03:08,4,3,0,0,0,0,0,0,0,0
2024-12-01 23:03:18,4,3,0,0,0,0,0,0,0,0
2024-12-01 23:03:28,4,3,0,0,0,0,0,0,0,0
2024-12-01 23:03:39,4,3,0,0,0,0,0,0,0,0
2024-12-01 23:03:49,4,3,0,0,0,0,0,0,0,0
2024-12-01 23:03:59,4,3,0,0,0,0,0,0,0,0
2024-12-01 23:04:09,4,4,0,0,0,1,0,1,0,0
2024-12-01 23:04:20,4,4,0,0,0,1,0,1,0,0
2024-12-01 23:04:30,4,4,0,0,0,1,0,1,0,0
2024-12-01 23:04:40,4,4,0,0,0,1,0,1,0,0
2024-12-01 23:04:51,4,4,0,0,0,1,0,1,0,0
2024-12-01 23:05:01,4,5,0,0,0,1,0,1,0,0
2024-12-01 23:05:11,4,5,0,0,0,1,0,1,0,0
2024-12-01 23:05:21,4,5,0,0,0,1,0,1,0,0
2024-12-01 23:05:32,4,5,0,0,0,1,0,1,0,0
2024-12-01 23:05:42,4,5,0,0,0,1,0,1,0,0
2024-12-01 23:05:52,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:06:02,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:06:12,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:06:23,4,6,0,0,0,0,0,0,0,0
2024-12-01 23:06:33,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:06:44,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:06:55,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:07:07,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:07:19,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:07:31,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:07:41,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:07:51,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:08:01,4,6,0,0,0,0,0,0,0,0
2024-12-01 23:08:12,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:08:22,4,6,0,0,0,1,0,1,0,0
2024-12-01 23:08:32,5,6,1,0,1,2,0,2,0,0
2024-12-01 23:08:43,5,6,0,0,0,1,0,1,0,0
2024-12-01 23:08:53,5,8,0,1,0,2,1,1,0,0
2024-12-01 23:09:03,5,8,0,0,0,1,0,1,0,0
2024-12-01 23:09:13,5,8,0,0,0,1,0,1,0,0
2024-12-01 23:09:24,5,8,0,0,0,1,0,1,0,0
